Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1668124800000,6725273822.837806,9900073,197414.69616,92.0,25.15523575980248,0
1668211200000,2827930561.00638,5046837,83267.92293,88.0,20.772996868980872,0
1668297600000,3074280132.0535235,5382834,91914.44893,84.0,12.589412233884588,-1
1668384000000,6273920325.336827,9215128,189502.41248,80.0,17.504178934774657,0
1668470400000,4758545355.786832,7200265,141015.70658,76.0,22.27469814090433,1
1668556800000,4362538338.565324,6297404,129644.72244,72.0,18.23899264337773,-1
1668643200000,3785204632.0142207,5352083,113347.39771,68.0,18.74470738971432,0
1668729600000,3588467560.373121,5114799,106366.35569,64.0,18.878603005438983,0
1668816000000,1747627888.1295474,3142123,52397.34048,60.0,19.259615700841405,1
1668902400000,2561165772.4957075,4557344,75959.10991,56.00000000000001,12.627855601384216,0
1668988800000,5188798317.004153,7440871,159995.4646,100.0,5.843005006813569,-1
1669075200000,3823612603.8030014,6276097,119384.47075,96.0,24.132323829601287,0
1669161600000,4368042618.50026,6260616,132804.37627,92.0,41.39221446933532,1
1669248000000,3431724405.654768,5031851,103203.3193,88.0,50.60612888688602,0
1669334400000,3003553172.229472,4396465,90187.55597,84.0,61.035005834305686,0
1669420800000,3011990387.647429,3817130,89646.23245,80.0,57.32613768961492,0
1669507200000,2679048565.5213013,3362221,80097.04098,76.0,55.58809801633599,0
1669593600000,4096398587.3573136,5570407,125766.80639,72.0,44.427228716637856,-1
1669680000000,4072651066.9994063,5206638,123715.14039,68.0,62.76494882851057,0
1669766400000,5123595199.505285,6519330,151764.57285,64.0,95.18556119571345,1
1669852800000,3972607179.868572,5097720,116018.88867,60.0,81.24296536796531,-1
1669939200000,3432385161.660257,4305515,99556.14105,56.00000000000001,87.48593073593084,1
1670025600000,2622504252.8664527,3308694,76214.56604,52.0,76.25541125541129,-1
1670112000000,3040020095.051177,3948990,89359.35165,48.0,88.18722943722946,1
1670198400000,4015334796.6037207,5138207,115508.19916,44.0,74.66834843606503,-1
1670284800000,3717926010.340586,4416864,108449.54144,40.0,76.53641058657217,1
1670371200000,3723206794.305466,4284989,107803.05198,36.0,58.87906058867159,-1
1670457600000,4009427525.030412,4520282,117238.75694,32.0,85.99350585732469,1
1670544000000,4097973425.6973534,4282003,118031.91364,28.000000000000004,79.30761802124601,0
1670630400000,2411933258.8486,3032257,70355.34064,24.0,79.23273943652126,0
1670716800000,2663686104.082561,3260722,77740.37478,20.0,76.26278884239102,-1
1670803200000,3844787581.481925,4463916,112286.94413,16.0,83.80819331697201,0
1670889600000,4983896040.378995,6242080,143922.84935,12.0,85.66520328306935,0
1670976000000,4779915721.484458,5743730,133308.11239,8.0,65.78356113087439,1
1671062400000,3923378677.833748,4789226,110193.63642,4.0,39.640867815015845,0
1671148800000,4308933187.65654,5703001,123374.83424,0.0,5.63250081961482,-1
1671235200000,2417851422.2131248,3905843,72289.66495,0.0,13.393313017633844,1
1671321600000,1884666030.099238,3369193,55539.12922,20.0,11.334332994738304,0
1671408000000,2981094033.013813,4681887,87610.2351,16.0,8.56519597494906,-1
1671494400000,4176995653.545711,5945803,124217.3859,12.0,29.988975676119512,1
1671580800000,2638528723.736041,4375570,77675.35979,8.0,26.663382825510688,0
1671667200000,2949612072.0493026,4678640,87573.90221,4.0,26.511387892008567,0
1671753600000,2720021933.978926,4561020,81034.18553,0.0,24.497455023104184,-1
1671840000000,1686757294.9926343,3076985,49578.22304,0.0,27.20052541458492,1
1671926400000,2108857873.1916704,3570157,62073.54114,76.0,27.01240822836774,-1
1672012800000,2099037538.631794,3915571,61741.18011,72.0,31.106889029624924,1
1672099200000,2918379509.5314097,5047628,86096.58586,68.0,21.113222151854245,0
1672185600000,3210894236.8123903,5465468,96118.18717,64.0,18.20496459224795,-1
1672272000000,2671665748.0816226,4553877,80977.62443,60.0,29.5719874865733,1
1672358400000,2726831056.725026,4310415,82170.4749,56.00000000000001,43.62647055169755,0
1672444800000,1897047504.918897,3344374,57021.06919,52.0,35.54169720610728,-1
1672531200000,1604793789.6772127,3218355,48548.78168,48.0,44.77806626333904,0
1672617600000,2034683215.2678783,4036118,60925.25948,44.0,46.66813132492054,0
1672704000000,2662765916.3256683,5097596,79595.76246,40.0,53.47983057999771,0
1672790400000,3709833209.8453646,6310703,109747.11502,36.0,78.52231851503352,1
1672876800000,2751080253.8177333,4842014,80959.57162,32.0,75.71296310349527,-1
1672963200000,3490305009.6881223,5388661,103320.22965,28.000000000000004,87.23870056497196,1
1673049600000,1770201710.2089734,3227161,51624.83107,24.0,86.23870056497171,-1
1673136000000,2291925699.958545,4036092,67200.6025,20.0,94.17528643704313,0
1673222400000,4590284350.546168,6327667,131748.52517,16.0,79.3075623944454,0
1673308800000,3829247653.731105,5448751,109377.45606,12.0,94.99656946826757,0
1673395200000,4586965947.26355,5627464,129944.5693,8.0,96.59628074385112,0
1673481600000,8348431207.846009,8911373,227295.33172,4.0,90.28677748882912,0
1673568000000,7061633461.444735,8021774,183448.89377,0.0,98.01728045325774,0
1673654400000,8183071567.046188,8659545,197817.55209,40.0,93.63142179327964,1
1673740800000,3710526606.1389647,5194354,88310.83908,36.0,91.79283545325208,-1
1673827200000,6168654053.042638,6856434,145352.66942,32.0,94.07653267663088,1
1673913600000,5840585769.490093,6440138,137121.64311,28.000000000000004,89.7365054386671,0
1674000000000,7399719195.246726,7617173,173174.4169,24.0,80.43592838463088,-1
1674086400000,5243024330.011201,5819932,124924.23436,20.0,88.36431301548984,0
1674172800000,7256172889.710531,7382435,170200.04869,16.0,98.48288197704144,0
1674259200000,7938935168.532013,7796520,172663.17131,12.0,90.8950903912828,1
1674345600000,5775552321.54412,6603827,125842.91663,8.0,89.40633207491777,-1
1674432000000,6704191295.97568,7258655,145854.70936,4.0,92.68568105810655,1
1674518400000,6721432962.573842,7395584,144239.84356,0.0,87.79911495657343,-1
1674604800000,7875590359.115837,8060446,172647.90115,0.0,87.24336166679043,1
1674691200000,6664592468.337928,7181086,143185.08341,0.0,84.18299654490549,-1
1674777600000,6461707755.053915,7079096,139699.27638,0.0,81.0987405438977,1
1674864000000,3408985411.316586,4181816,73861.83566,0.0,76.70886150200313,-1
1674950400000,6941922954.136406,7030837,149507.5061,0.0,93.85825929605244,1
1675036800000,7020727239.059652,7790224,149096.53066,4.0,68.07583743974065,-1
1675123200000,6083858924.538485,6798411,133028.12717,0.0,76.48977455331388,0
1675209600000,7212542002.325099,7863213,156107.58478,0.0,93.09736925803078,1
1675296000000,8673696845.80511,9102300,181814.20318,0.0,77.42713011091071,0
1675382400000,7806490899.914181,8007846,166143.33246,0.0,58.06137682599379,0
1675468800000,3886777607.7960505,4852404,81863.93145,0.0,52.70835562485036,0
1675555200000,4842463016.833934,5903916,103885.22312,0.0,32.373913043478254,0
1675641600000,6076050768.117039,6956395,132350.52989,0.0,23.65831202046038,-1
1675728000000,7085929136.45685,8293878,154613.24744,0.0,48.105370843989725,1
1675814400000,6457585647.820655,7896433,138627.72636,0.0,26.381766381766383,0
1675900800000,9052973327.19716,9784291,199309.68374,12.0,4.2208804051421325,0
1675987200000,7369456394.906654,6993675,167419.66937,8.0,6.212196861626201,-1
1676073600000,3842000897.79758,4207940,87937.9597,4.0,14.677246790299549,1
1676160000000,4469822441.4372015,4561903,101194.34699,0.0,11.859486447931555,0
1676246400000,6404813758.2696295,6503611,147221.38569,0.0,14.563023213369515,-1
1676332800000,7938385476.792083,7695927,182006.71562,0.0,29.22832161932279,0
1676419200000,8604133693.663172,8335550,190798.1552,92.0,98.1528130395882,1
1676505600000,11074988148.779009,11006793,224396.77566,88.0,55.57037443606326,-1
1676592000000,11968532252.057327,10895009,249087.94774,84.0,82.55854811448272,0
1676678400000,5339920389.516133,6296097,107467.08761,80.0,84.1482150230961,1
1676764800000,7408745406.624342,7660484,149680.28058,76.0,74.9100394210719,-1
1676851200000,8561226688.07291,9808728,174453.04334,72.0,89.54072014629656,1
1676937600000,9280992344.428871,10712371,187029.49757,68.0,79.53694988112123,0
1677024000000,9101745945.990707,11395957,188203.74268,64.0,72.6132554316184,0
1677110400000,9596083721.512953,11396877,198080.68369,60.0,66.4061678460501,0
1677196800000,8087524100.39044,11531424,170263.13353,56.00000000000001,47.04418904673849,0
1677283200000,4406286300.272117,9124568,94440.13964,52.0,46.3204007253272,-1
1677369600000,4716158181.22559,9506015,101003.39278,48.0,56.52268699361103,1
1677456000000,6659785788.329373,11754195,141360.04845,44.0,52.70914094634984,0
1677542400000,6172930936.037335,9568743,131200.82704,40.0,34.167520107908295,-1
1677628800000,7441571085.495408,9390487,157961.92667,36.0,35.87697784810131,1
